timeinterval,price_shortage,price_surplus,regulation_state,jaar
2015-01-03 06:30:00,25.59,25.59,-1,2015
2015-01-03 06:45:00,29.95,29.95,-1,2015
2015-01-03 07:00:00,-54.51,-54.51,-1,2015
2015-01-03 07:15:00,-54.51,-54.51,-1,2015
2015-01-03 07:30:00,0.0,0.0,0,2015
2015-01-03 07:45:00,39.51,39.51,1,2015
2015-01-03 08:00:00,39.51,-54.51,2,2015
2015-01-03 08:15:00,119.45,-54.51,2,2015
2015-01-03 08:30:00,119.45,-54.51,2,2015
2015-01-03 08:45:00,56.02,56.02,1,2015
2015-01-03 09:00:00,56.02,32.3,2,2015
2015-01-03 09:15:00,46.2,40.13,2,2015
2015-01-03 09:30:00,120.01,120.01,1,2015
2015-01-03 09:45:00,75.79,75.79,1,2015
2015-01-03 10:00:00,48.69,48.69,1,2015
2015-01-03 10:15:00,47.49,47.49,1,2015
2015-01-03 10:30:00,47.02,47.02,1,2015
2015-01-03 10:45:00,350.02,350.02,1,2015
2015-01-03 11:00:00,56.02,56.02,1,2015
2015-01-03 11:15:00,88.02,88.02,1,2015
2015-01-03 11:30:00,51.6,51.6,1,2015
2015-01-03 11:45:00,51.6,51.6,1,2015
2015-01-03 12:00:00,51.6,39.33,2,2015
2015-01-03 12:15:00,39.3,39.3,1,2015
2015-01-03 12:30:00,47.08,47.08,1,2015
2015-01-03 12:45:00,48.26,48.26,1,2015
2015-01-03 13:00:00,43.3,43.3,1,2015
2015-01-03 13:15:00,0.0,0.0,0,2015
2015-01-03 13:30:00,44.39,44.39,1,2015
2015-01-03 13:45:00,43.59,43.59,1,2015
2015-01-03 14:00:00,38.87,33.03,2,2015
2015-01-03 14:15:00,31.74,31.74,-1,2015
2015-01-03 14:30:00,39.02,39.05,2,2015
2015-01-03 14:45:00,43.3,39.05,2,2015
2015-01-03 15:00:00,43.02,43.02,1,2015
2015-01-03 15:15:00,36.3,36.3,-1,2015
2015-01-03 15:30:00,43.3,43.3,1,2015
2015-01-03 15:45:00,64.69,64.69,1,2015
2015-01-03 16:00:00,54.14,54.14,1,2015
2015-01-03 16:15:00,56.06,56.06,1,2015
2015-01-03 16:30:00,57.76,57.76,1,2015
2015-01-03 16:45:00,52.79,52.79,1,2015
2015-01-03 17:00:00,65.02,65.02,1,2015
2015-01-03 17:15:00,51.59,51.59,1,2015
2015-01-03 17:30:00,51.59,29.92,2,2015
2015-01-03 17:45:00,29.92,29.92,-1,2015
2015-01-03 18:00:00,122.62,29.92,2,2015
2015-01-03 18:15:00,122.62,122.62,1,2015
2015-01-03 18:30:00,122.62,-44.2,2,2015
2015-01-03 18:45:00,32.38,32.38,-1,2015
2015-01-03 19:00:00,118.79,36.3,2,2015
2015-01-03 19:15:00,118.79,118.79,1,2015
2015-01-03 19:30:00,42.49,34.99,2,2015
2015-01-03 19:45:00,-54.51,-54.51,-1,2015
2015-01-03 20:00:00,46.51,-53.37,2,2015
2015-01-03 20:15:00,117.44,-53.37,2,2015
2015-01-03 20:30:00,117.44,-54.51,2,2015
2015-01-03 20:45:00,-54.51,-54.51,-1,2015
2015-01-03 21:00:00,29.03,29.03,-1,2015
2015-01-03 21:15:00,0.0,0.0,0,2015
2015-01-03 21:30:00,25.8,25.8,-1,2015
2015-01-03 21:45:00,25.09,25.09,-1,2015
2015-01-03 22:00:00,29.22,29.22,-1,2015
2015-01-03 22:15:00,29.22,29.22,-1,2015
2015-01-03 22:30:00,-54.51,-54.51,-1,2015
2015-01-03 22:45:00,-44.2,-44.2,-1,2015
2015-01-03 23:00:00,6.59,6.59,-1,2015
2015-01-03 23:15:00,41.89,6.59,2,2015
2015-01-03 23:30:00,40.12,40.12,1,2015
2015-01-03 23:45:00,0.0,0.0,0,2015
2015-01-04 00:00:00,39.4,27.5,2,2015
2015-01-04 00:15:00,42.73,42.73,1,2015
2015-01-04 00:30:00,42.73,32.78,2,2015
2015-01-04 00:45:00,27.23,27.23,-1,2015
2015-01-04 01:00:00,10.99,10.99,-1,2015
2015-01-04 01:15:00,34.5,10.99,2,2015
2015-01-04 01:30:00,27.26,27.26,-1,2015
2015-01-04 01:45:00,23.5,23.5,-1,2015
2015-01-04 02:00:00,-168.78,-168.78,-1,2015
2015-01-04 02:15:00,25.23,25.23,-1,2015
2015-01-04 02:30:00,23.5,23.5,-1,2015
2015-01-04 02:45:00,23.5,23.5,-1,2015
2015-01-04 03:00:00,22.78,22.78,-1,2015
2015-01-04 03:15:00,14.78,14.78,-1,2015
2015-01-04 03:30:00,-96.5,-96.5,-1,2015
2015-01-04 03:45:00,23.5,23.5,-1,2015
2015-01-04 04:00:00,34.5,27.5,2,2015
2015-01-04 04:15:00,34.5,34.5,1,2015
2015-01-04 04:30:00,0.0,0.0,0,2015
2015-01-04 04:45:00,28.5,28.5,-1,2015
2015-01-04 05:00:00,24.82,24.82,-1,2015
2015-01-04 05:15:00,25.58,25.58,-1,2015
2015-01-04 05:30:00,34.5,28.5,2,2015
2015-01-04 05:45:00,37.17,37.17,1,2015
2015-01-04 06:00:00,37.17,-168.78,2,2015
2015-01-04 06:15:00,-46.5,-46.5,-1,2015
2015-01-04 06:30:00,16.87,16.87,-1,2015
2015-01-04 06:45:00,27.5,27.5,-1,2015
2015-01-04 07:00:00,21.78,21.78,-1,2015
2015-01-04 07:15:00,22.78,22.78,-1,2015
2015-01-04 07:30:00,34.5,27.5,2,2015
2015-01-04 07:45:00,27.5,27.5,-1,2015
2015-01-04 08:00:00,28.5,28.5,-1,2015
2015-01-04 08:15:00,27.5,27.5,-1,2015
2015-01-04 08:30:00,34.5,27.5,2,2015
2015-01-04 08:45:00,39.89,39.89,1,2015
2015-01-04 09:00:00,30.5,30.5,1,2015
2015-01-04 09:15:00,111.7,111.7,1,2015
2015-01-04 09:30:00,120.99,120.99,1,2015
2015-01-04 09:45:00,38.71,38.71,1,2015
2015-01-04 10:00:00,35.2,35.2,-1,2015
2015-01-04 10:15:00,35.55,35.55,-1,2015
2015-01-04 10:30:00,45.2,45.2,1,2015
2015-01-04 10:45:00,45.2,33.47,2,2015
2015-01-04 11:00:00,398.12,37.78,2,2015
2015-01-04 11:15:00,398.12,398.12,1,2015
2015-01-04 11:30:00,37.55,37.55,1,2015
2015-01-04 11:45:00,44.58,44.58,1,2015
2015-01-04 12:00:00,44.58,32.38,2,2015
2015-01-04 12:15:00,24.6,24.6,-1,2015
2015-01-04 12:30:00,34.1,34.1,-1,2015
2015-01-04 12:45:00,24.6,24.6,-1,2015
